start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support,dtt
1725620400000,16.603,16.748,16.515,16.679,12251.23,203351.70514,spot,INJUSDT,60,17.203,16.603,2024-09-06 11:00:00+00:00
1725624000000,16.679,17.369,16.598,17.321,27929.88,474588.80812,spot,INJUSDT,60,17.203,16.603,2024-09-06 12:00:00+00:00
1725627600000,17.321,17.372,16.82,16.838,16166.61,276861.86667,spot,INJUSDT,60,17.321,16.603,2024-09-06 13:00:00+00:00
1725631200000,16.838,16.841,16.423,16.645,31100.44,516808.51846,spot,INJUSDT,60,17.321,16.603,2024-09-06 14:00:00+00:00
1725634800000,16.645,16.795,16.342,16.721,20647.01,342191.81032,spot,INJUSDT,60,17.321,16.603,2024-09-06 15:00:00+00:00
1725638400000,16.721,16.726,16.352,16.469,18607.89,308134.83691,spot,INJUSDT,60,17.321,16.603,2024-09-06 16:00:00+00:00
1725642000000,16.469,16.609,16.266,16.411,12417.73,203908.65822,spot,INJUSDT,60,17.321,16.469,2024-09-06 17:00:00+00:00
1725645600000,16.411,16.427,16.067,16.075,32592.84,528904.17249,spot,INJUSDT,60,17.321,16.411,2024-09-06 18:00:00+00:00
1725649200000,16.075,16.239,15.936,16.067,23235.78,373543.74362,spot,INJUSDT,60,17.321,16.075,2024-09-06 19:00:00+00:00
1725652800000,16.067,16.189,15.685,15.715,14212.58,225996.46128,spot,INJUSDT,60,17.321,16.067,2024-09-06 20:00:00+00:00
1725656400000,15.715,16.215,15.575,16.215,13709.23,217620.55115,spot,INJUSDT,60,17.321,15.715,2024-09-06 21:00:00+00:00
1725660000000,16.215,16.333,16.067,16.216,6165.29,99946.83053,spot,INJUSDT,60,17.321,15.715,2024-09-06 22:00:00+00:00
1725663600000,16.216,16.246,16.173,16.198,1670.33,27081.70044,spot,INJUSDT,60,17.321,15.715,2024-09-06 23:00:00+00:00
1725667200000,16.198,16.329,16.149,16.177,3986.48,64733.19027,spot,INJUSDT,60,17.321,15.715,2024-09-07 00:00:00+00:00
1725670800000,16.177,16.22,16.075,16.113,3600.5,58202.96368,spot,INJUSDT,60,17.321,15.715,2024-09-07 01:00:00+00:00
1725674400000,16.113,16.185,16.051,16.093,2227.84,35918.8944,spot,INJUSDT,60,17.321,15.715,2024-09-07 02:00:00+00:00
1725678000000,16.093,16.203,16.065,16.115,1549.87,25019.71902,spot,INJUSDT,60,17.321,15.715,2024-09-07 03:00:00+00:00
1725681600000,16.115,16.197,16.076,16.141,3277.2,52856.61186,spot,INJUSDT,60,17.321,15.715,2024-09-07 04:00:00+00:00
1725685200000,16.141,16.353,16.091,16.209,4308.78,69779.44165,spot,INJUSDT,60,17.321,15.715,2024-09-07 05:00:00+00:00
1725688800000,16.209,16.273,16.141,16.265,2943.7,47717.64795,spot,INJUSDT,60,17.321,15.715,2024-09-07 06:00:00+00:00
1725692400000,16.265,16.387,16.205,16.329,12593.69,205532.87678,spot,INJUSDT,60,17.321,15.715,2024-09-07 07:00:00+00:00
1725696000000,16.329,16.406,16.241,16.359,7074.45,115529.93947,spot,INJUSDT,60,17.321,15.715,2024-09-07 08:00:00+00:00
1725699600000,16.359,16.379,16.175,16.205,4701.66,76307.3847,spot,INJUSDT,60,16.838,15.715,2024-09-07 09:00:00+00:00
1725703200000,16.205,16.299,16.19,16.247,4621.71,75086.28622,spot,INJUSDT,60,16.721,15.715,2024-09-07 10:00:00+00:00
1725706800000,16.247,16.371,16.228,16.254,4342.62,70816.14127,spot,INJUSDT,60,16.721,15.715,2024-09-07 11:00:00+00:00
1725710400000,16.254,16.383,16.251,16.321,3638.19,59353.76986,spot,INJUSDT,60,16.469,15.715,2024-09-07 12:00:00+00:00
1725714000000,16.321,16.395,16.265,16.355,3159.13,51630.51788,spot,INJUSDT,60,16.411,15.715,2024-09-07 13:00:00+00:00
1725717600000,16.355,16.433,16.329,16.433,4987.05,81648.35683,spot,INJUSDT,60,16.359,15.715,2024-09-07 14:00:00+00:00
1725721200000,16.433,16.647,16.419,16.517,7046.73,116531.00325,spot,INJUSDT,60,16.433,15.715,2024-09-07 15:00:00+00:00
1725724800000,16.517,16.581,16.305,16.323,4849.12,79637.36951,spot,INJUSDT,60,16.517,15.715,2024-09-07 16:00:00+00:00
1725728400000,16.323,16.385,16.052,16.139,6758.26,109310.11788,spot,INJUSDT,60,16.517,16.093,2024-09-07 17:00:00+00:00
1725732000000,16.139,16.257,16.058,16.207,3295.41,53287.312,spot,INJUSDT,60,16.517,16.093,2024-09-07 18:00:00+00:00
1725735600000,16.207,16.372,16.199,16.33,2293.27,37359.53755,spot,INJUSDT,60,16.517,16.093,2024-09-07 19:00:00+00:00
1725739200000,16.33,16.353,16.127,16.127,3407.05,55272.0274,spot,INJUSDT,60,16.517,16.093,2024-09-07 20:00:00+00:00
1725742800000,16.127,16.147,15.97,15.981,13164.35,211298.69387,spot,INJUSDT,60,16.517,16.093,2024-09-07 21:00:00+00:00
1725746400000,15.981,16.021,15.826,15.835,3627.99,57671.03149,spot,INJUSDT,60,16.517,15.981,2024-09-07 22:00:00+00:00
1725750000000,15.835,16.041,15.815,16.013,3870.23,61835.12961,spot,INJUSDT,60,16.517,15.835,2024-09-07 23:00:00+00:00
1725753600000,16.013,16.065,15.928,16.037,13253.35,212174.65073,spot,INJUSDT,60,16.517,15.835,2024-09-08 00:00:00+00:00
1725757200000,16.037,16.159,16.023,16.127,1905.89,30690.9517,spot,INJUSDT,60,16.517,15.835,2024-09-08 01:00:00+00:00
1725760800000,16.127,16.22,16.124,16.175,1283.23,20747.69709,spot,INJUSDT,60,16.517,15.835,2024-09-08 02:00:00+00:00
1725764400000,16.175,16.269,16.163,16.267,1418.35,23001.14759,spot,INJUSDT,60,16.517,15.835,2024-09-08 03:00:00+00:00
1725768000000,16.267,16.353,16.239,16.319,3694.58,60208.61943,spot,INJUSDT,60,16.517,15.835,2024-09-08 04:00:00+00:00
1725771600000,16.319,16.379,16.245,16.253,2208.79,36062.83958,spot,INJUSDT,60,16.517,15.835,2024-09-08 05:00:00+00:00
1725775200000,16.253,16.307,16.207,16.209,1805.45,29362.84086,spot,INJUSDT,60,16.517,15.835,2024-09-08 06:00:00+00:00
1725778800000,16.209,16.464,16.207,16.461,5578.55,91487.53074,spot,INJUSDT,60,16.517,15.835,2024-09-08 07:00:00+00:00
1725782400000,16.461,16.533,16.373,16.525,4452.77,73265.80784,spot,INJUSDT,60,16.517,15.835,2024-09-08 08:00:00+00:00
1725786000000,16.525,16.629,16.437,16.439,3907.52,64638.13294,spot,INJUSDT,60,16.525,15.835,2024-09-08 09:00:00+00:00
1725789600000,16.439,16.55,16.421,16.477,6393.84,105375.86383,spot,INJUSDT,60,16.525,15.835,2024-09-08 10:00:00+00:00
1725793200000,16.477,16.512,16.347,16.385,4635.09,76212.3218,spot,INJUSDT,60,16.525,15.835,2024-09-08 11:00:00+00:00
1725796800000,16.385,16.411,16.129,16.181,4839.24,78791.5882,spot,INJUSDT,60,16.525,15.835,2024-09-08 12:00:00+00:00
1725800400000,16.181,16.207,16.073,16.205,3064.43,49479.66442,spot,INJUSDT,60,16.525,15.835,2024-09-08 13:00:00+00:00
1725804000000,16.205,16.233,16.067,16.101,3997.08,64470.70478,spot,INJUSDT,60,16.525,15.835,2024-09-08 14:00:00+00:00
1725807600000,16.101,16.177,15.973,15.989,6010.27,96572.69461,spot,INJUSDT,60,16.525,15.835,2024-09-08 15:00:00+00:00
1725811200000,15.989,16.121,15.905,16.021,4943.24,79228.36221,spot,INJUSDT,60,16.525,15.835,2024-09-08 16:00:00+00:00
1725814800000,16.021,16.217,16.017,16.201,3719.2,59976.00544,spot,INJUSDT,60,16.525,15.835,2024-09-08 17:00:00+00:00
1725818400000,16.201,16.223,16.051,16.107,2741.57,44200.25877,spot,INJUSDT,60,16.525,15.835,2024-09-08 18:00:00+00:00
1725822000000,16.107,16.131,16.051,16.073,1789.31,28797.47011,spot,INJUSDT,60,16.525,15.989,2024-09-08 19:00:00+00:00
1725825600000,16.073,16.165,16.042,16.149,2977.66,47936.2262,spot,INJUSDT,60,16.525,15.989,2024-09-08 20:00:00+00:00
1725829200000,16.149,16.333,16.123,16.183,5831.89,94743.11581,spot,INJUSDT,60,16.525,15.989,2024-09-08 21:00:00+00:00
1725832800000,16.183,16.599,16.151,16.161,24623.77,403336.85064,spot,INJUSDT,60,16.525,15.989,2024-09-08 22:00:00+00:00
1725836400000,16.161,16.347,16.125,16.243,8802.85,143156.92162,spot,INJUSDT,60,16.525,15.989,2024-09-08 23:00:00+00:00
1725840000000,16.243,16.425,16.073,16.267,11826.3,192418.45175,spot,INJUSDT,60,16.525,15.989,2024-09-09 00:00:00+00:00
1725843600000,16.267,16.381,16.104,16.221,10485.57,170153.43354,spot,INJUSDT,60,16.525,15.989,2024-09-09 01:00:00+00:00
1725847200000,16.221,16.235,16.091,16.207,6374.43,102919.75804,spot,INJUSDT,60,16.525,15.989,2024-09-09 02:00:00+00:00
1725850800000,16.207,16.251,16.029,16.175,9801.25,158063.20105,spot,INJUSDT,60,16.525,15.989,2024-09-09 03:00:00+00:00
1725854400000,16.175,16.277,16.115,16.183,4310.37,69761.34228,spot,INJUSDT,60,16.525,15.989,2024-09-09 04:00:00+00:00
1725858000000,16.183,16.202,16.053,16.107,5111.54,82381.55051,spot,INJUSDT,60,16.477,15.989,2024-09-09 05:00:00+00:00
1725861600000,16.107,16.384,16.07,16.339,7555.5,122374.25085,spot,INJUSDT,60,16.477,15.989,2024-09-09 06:00:00+00:00
1725865200000,16.339,16.595,16.307,16.549,15139.94,249003.20132,spot,INJUSDT,60,16.385,15.989,2024-09-09 07:00:00+00:00
1725868800000,16.549,16.751,16.461,16.639,22583.2,374880.86767,spot,INJUSDT,60,16.549,15.989,2024-09-09 08:00:00+00:00
1725872400000,16.639,16.8,16.521,16.573,13972.45,232988.04581,spot,INJUSDT,60,16.639,15.989,2024-09-09 09:00:00+00:00
1725876000000,16.573,16.775,16.527,16.583,14729.1,245115.02393,spot,INJUSDT,60,16.639,15.989,2024-09-09 10:00:00+00:00
1725879600000,16.583,16.603,16.483,16.545,7780.88,128705.87708,spot,INJUSDT,60,16.639,15.989,2024-09-09 11:00:00+00:00
1725883200000,16.545,16.559,16.337,16.509,16341.25,269120.72233,spot,INJUSDT,60,16.639,16.021,2024-09-09 12:00:00+00:00
1725886800000,16.509,16.601,16.41,16.547,14116.81,232837.50801,spot,INJUSDT,60,16.639,16.073,2024-09-09 13:00:00+00:00
1725890400000,16.547,16.574,16.173,16.241,17056.44,278242.43679,spot,INJUSDT,60,16.639,16.073,2024-09-09 14:00:00+00:00
1725894000000,16.241,16.497,16.223,16.413,11581.86,189719.08734,spot,INJUSDT,60,16.639,16.073,2024-09-09 15:00:00+00:00
1725897600000,16.413,16.994,16.408,16.976,28270.54,472996.71665,spot,INJUSDT,60,16.639,16.107,2024-09-09 16:00:00+00:00
1725901200000,16.976,17.104,16.862,17.021,14804.61,251492.77986,spot,INJUSDT,60,16.976,16.107,2024-09-09 17:00:00+00:00
1725904800000,17.021,17.156,16.95,17.069,21476.64,366762.4592,spot,INJUSDT,60,17.021,16.107,2024-09-09 18:00:00+00:00
1725908400000,17.069,17.423,17.033,17.375,10482.43,180916.45136,spot,INJUSDT,60,17.069,16.107,2024-09-09 19:00:00+00:00
1725912000000,17.375,17.411,17.196,17.219,7519.65,129968.46036,spot,INJUSDT,60,17.375,16.107,2024-09-09 20:00:00+00:00
1725915600000,17.219,17.624,17.198,17.411,15644.76,273101.43673,spot,INJUSDT,60,17.375,16.107,2024-09-09 21:00:00+00:00
1725919200000,17.411,17.501,17.326,17.327,2018.12,35085.40404,spot,INJUSDT,60,17.411,16.107,2024-09-09 22:00:00+00:00
1725922800000,17.327,17.418,17.249,17.295,4824.04,83564.10897,spot,INJUSDT,60,17.411,16.107,2024-09-09 23:00:00+00:00
1725926400000,17.295,17.317,17.116,17.222,3517.43,60512.94337,spot,INJUSDT,60,17.411,16.107,2024-09-10 00:00:00+00:00
1725930000000,17.222,17.24,17.042,17.12,2746.18,47036.71883,spot,INJUSDT,60,17.411,16.107,2024-09-10 01:00:00+00:00
1725933600000,17.12,17.12,16.979,17.067,1138.19,19393.29021,spot,INJUSDT,60,17.411,16.241,2024-09-10 02:00:00+00:00
1725937200000,17.067,17.075,17.006,17.012,2564.63,43697.17083,spot,INJUSDT,60,17.411,16.241,2024-09-10 03:00:00+00:00
1725940800000,17.012,17.108,16.964,17.057,1160.35,19764.25323,spot,INJUSDT,60,17.411,16.241,2024-09-10 04:00:00+00:00
1725944400000,17.057,17.247,17.038,17.237,6696.76,114941.20787,spot,INJUSDT,60,17.411,16.241,2024-09-10 05:00:00+00:00
1725948000000,17.237,17.237,17.1,17.108,1902.5,32610.72197,spot,INJUSDT,60,17.411,16.241,2024-09-10 06:00:00+00:00
1725951600000,17.108,17.38,17.049,17.369,4302.37,74239.86456,spot,INJUSDT,60,17.411,16.241,2024-09-10 07:00:00+00:00
1725955200000,17.369,17.609,17.34,17.459,10939.16,191617.82624,spot,INJUSDT,60,17.411,16.241,2024-09-10 08:00:00+00:00
1725958800000,17.459,17.957,17.337,17.789,36127.85,642977.44019,spot,INJUSDT,60,17.459,16.241,2024-09-10 09:00:00+00:00
1725962400000,17.789,17.979,17.768,17.894,14249.25,254734.73629,spot,INJUSDT,60,17.789,16.241,2024-09-10 10:00:00+00:00
1725966000000,17.894,18.225,17.812,18.182,10254.62,184094.59266,spot,INJUSDT,60,17.894,16.413,2024-09-10 11:00:00+00:00
1725969600000,18.182,18.236,17.751,17.765,13374.57,239978.88691,spot,INJUSDT,60,18.182,16.976,2024-09-10 12:00:00+00:00
1725973200000,17.765,17.966,17.645,17.756,13224.87,235255.22274,spot,INJUSDT,60,18.182,17.012,2024-09-10 13:00:00+00:00
1725976800000,17.756,17.891,17.702,17.774,8977.24,159625.36466,spot,INJUSDT,60,18.182,17.012,2024-09-10 14:00:00+00:00
1725980400000,17.774,17.966,17.684,17.765,10283.2,183066.85467,spot,INJUSDT,60,18.182,17.012,2024-09-10 15:00:00+00:00
1725984000000,17.765,18.047,17.741,17.99,6011.19,107546.40527,spot,INJUSDT,60,18.182,17.012,2024-09-10 16:00:00+00:00
1725987600000,17.99,18.179,17.93,18.011,5502.17,99226.05362,spot,INJUSDT,60,18.182,17.012,2024-09-10 17:00:00+00:00
1725991200000,18.011,18.284,18.011,18.107,9480.54,172275.66089,spot,INJUSDT,60,18.182,17.012,2024-09-10 18:00:00+00:00
1725994800000,18.107,18.476,18.057,18.293,9614.29,176295.67532,spot,INJUSDT,60,18.182,17.012,2024-09-10 19:00:00+00:00
1725998400000,18.293,18.431,18.231,18.237,9233.99,169323.64846,spot,INJUSDT,60,18.293,17.012,2024-09-10 20:00:00+00:00
1726002000000,18.237,18.308,18.173,18.214,6263.51,114259.92126,spot,INJUSDT,60,18.293,17.012,2024-09-10 21:00:00+00:00
1726005600000,18.214,18.274,18.116,18.242,3270.5,59555.95267,spot,INJUSDT,60,18.293,17.012,2024-09-10 22:00:00+00:00
1726009200000,18.242,18.274,18.176,18.179,2933.9,53458.07367,spot,INJUSDT,60,18.293,17.012,2024-09-10 23:00:00+00:00
1726012800000,18.179,18.224,18.059,18.2,2012.63,36511.79992,spot,INJUSDT,60,18.293,17.057,2024-09-11 00:00:00+00:00
1726016400000,18.2,18.389,17.975,18.206,15751.76,286213.50556,spot,INJUSDT,60,18.293,17.108,2024-09-11 01:00:00+00:00
1726020000000,18.206,18.491,18.194,18.404,17112.12,314350.08291,spot,INJUSDT,60,18.293,17.108,2024-09-11 02:00:00+00:00
1726023600000,18.404,18.406,18.244,18.395,6151.1,112730.58109,spot,INJUSDT,60,18.404,17.369,2024-09-11 03:00:00+00:00
1726027200000,18.395,18.395,17.928,17.99,18686.72,337857.15136,spot,INJUSDT,60,18.404,17.459,2024-09-11 04:00:00+00:00
1726030800000,17.99,17.999,17.735,17.774,8247.54,147141.88998,spot,INJUSDT,60,18.404,17.756,2024-09-11 05:00:00+00:00
1726034400000,17.774,18.092,17.732,17.966,8410.35,151239.36064,spot,INJUSDT,60,18.404,17.756,2024-09-11 06:00:00+00:00
1726038000000,17.966,18.318,17.924,18.29,16121.53,293084.45143,spot,INJUSDT,60,18.404,17.756,2024-09-11 07:00:00+00:00
1726041600000,18.29,18.29,17.912,17.93,19596.15,354961.87473,spot,INJUSDT,60,18.404,17.756,2024-09-11 08:00:00+00:00
1726045200000,17.93,18.257,17.912,18.182,11580.87,209919.39882,spot,INJUSDT,60,18.404,17.756,2024-09-11 09:00:00+00:00
1726048800000,18.182,18.191,17.999,18.122,7018.84,127097.61292,spot,INJUSDT,60,18.404,17.765,2024-09-11 10:00:00+00:00
1726052400000,18.122,18.346,18.122,18.215,9571.55,174751.1256,spot,INJUSDT,60,18.404,17.765,2024-09-11 11:00:00+00:00
1726056000000,18.215,18.473,17.984,18.431,21661.96,394891.25461,spot,INJUSDT,60,18.404,17.774,2024-09-11 12:00:00+00:00
1726059600000,18.431,18.689,17.762,17.786,37478.02,682423.82864,spot,INJUSDT,60,18.431,17.774,2024-09-11 13:00:00+00:00
1726063200000,17.786,17.972,17.618,17.738,19827.52,353075.77177,spot,INJUSDT,60,18.431,17.774,2024-09-11 14:00:00+00:00
1726066800000,17.738,18.422,17.642,18.326,18880.58,340453.25882,spot,INJUSDT,60,18.431,17.738,2024-09-11 15:00:00+00:00
1726070400000,18.326,18.638,18.251,18.527,22363.14,413027.10068,spot,INJUSDT,60,18.431,17.738,2024-09-11 16:00:00+00:00
1726074000000,18.527,18.96,18.521,18.689,28980.36,544925.40874,spot,INJUSDT,60,18.527,17.738,2024-09-11 17:00:00+00:00
1726077600000,18.689,18.767,18.413,18.497,14165.3,263659.60203,spot,INJUSDT,60,18.689,17.738,2024-09-11 18:00:00+00:00
1726081200000,18.497,18.812,18.416,18.756,8093.17,150905.48083,spot,INJUSDT,60,18.689,17.738,2024-09-11 19:00:00+00:00
1726084800000,18.756,19.032,18.7,18.851,13515.83,255307.23411,spot,INJUSDT,60,18.756,17.738,2024-09-11 20:00:00+00:00
1726088400000,18.851,18.958,18.794,18.827,7861.87,148288.04446,spot,INJUSDT,60,18.851,17.738,2024-09-11 21:00:00+00:00
1726092000000,18.827,18.874,18.678,18.752,5948.0,111587.66739,spot,INJUSDT,60,18.851,17.738,2024-09-11 22:00:00+00:00
1726095600000,18.752,18.86,18.686,18.719,5939.14,111408.16934,spot,INJUSDT,60,18.851,17.738,2024-09-11 23:00:00+00:00
1726099200000,18.719,19.083,18.701,18.896,18450.97,349322.56543,spot,INJUSDT,60,18.851,17.738,2024-09-12 00:00:00+00:00
1726102800000,18.896,18.947,18.709,18.829,6582.63,123943.42815,spot,INJUSDT,60,18.896,17.738,2024-09-12 01:00:00+00:00
1726106400000,18.829,18.983,18.696,18.884,10326.54,194422.90271,spot,INJUSDT,60,18.896,17.738,2024-09-12 02:00:00+00:00
1726110000000,18.884,19.064,18.739,19.049,13193.17,249794.2836,spot,INJUSDT,60,18.896,17.738,2024-09-12 03:00:00+00:00
1726113600000,19.049,19.446,19.049,19.373,28550.36,550093.90285,spot,INJUSDT,60,19.049,17.738,2024-09-12 04:00:00+00:00
1726117200000,19.373,19.394,19.115,19.163,11842.52,228019.26094,spot,INJUSDT,60,19.373,17.738,2024-09-12 05:00:00+00:00
1726120800000,19.163,19.478,19.122,19.328,14310.39,276097.37901,spot,INJUSDT,60,19.373,17.738,2024-09-12 06:00:00+00:00
1726124400000,19.328,19.415,19.237,19.307,9611.35,185695.04355,spot,INJUSDT,60,19.373,17.738,2024-09-12 07:00:00+00:00
1726128000000,19.307,19.433,19.232,19.309,17698.59,341962.3888,spot,INJUSDT,60,19.373,17.738,2024-09-12 08:00:00+00:00
1726131600000,19.309,19.363,19.163,19.19,13014.02,250587.44074,spot,INJUSDT,60,19.373,17.738,2024-09-12 09:00:00+00:00
1726135200000,19.19,19.346,19.113,19.142,11426.73,219602.58959,spot,INJUSDT,60,19.373,17.738,2024-09-12 10:00:00+00:00
1726138800000,19.142,19.359,19.142,19.25,15610.28,300840.36226,spot,INJUSDT,60,19.373,18.326,2024-09-12 11:00:00+00:00
1726142400000,19.25,19.256,18.97,18.991,49647.04,946847.90102,spot,INJUSDT,60,19.373,18.497,2024-09-12 12:00:00+00:00
1726146000000,18.991,19.259,18.859,18.956,42255.5,804551.55251,spot,INJUSDT,60,19.373,18.497,2024-09-12 13:00:00+00:00
1726149600000,18.956,19.157,18.917,18.941,42244.25,803828.14529,spot,INJUSDT,60,19.373,18.497,2024-09-12 14:00:00+00:00
1726153200000,18.941,19.142,18.772,18.899,12475.44,236407.32707,spot,INJUSDT,60,19.373,18.719,2024-09-12 15:00:00+00:00
1726156800000,18.899,19.124,18.893,19.088,7760.12,147691.26486,spot,INJUSDT,60,19.373,18.719,2024-09-12 16:00:00+00:00
1726160400000,19.088,19.25,19.07,19.213,12808.69,245563.29486,spot,INJUSDT,60,19.373,18.719,2024-09-12 17:00:00+00:00
1726164000000,19.213,19.297,19.083,19.145,9668.88,185417.2978,spot,INJUSDT,60,19.373,18.719,2024-09-12 18:00:00+00:00
1726167600000,19.145,19.304,19.13,19.229,5698.16,109561.70651,spot,INJUSDT,60,19.373,18.719,2024-09-12 19:00:00+00:00
1726171200000,19.229,19.283,19.137,19.2,4363.91,83790.93092,spot,INJUSDT,60,19.373,18.829,2024-09-12 20:00:00+00:00
1726174800000,19.2,19.364,19.133,19.247,13294.32,256071.7869,spot,INJUSDT,60,19.373,18.829,2024-09-12 21:00:00+00:00
1726178400000,19.247,19.397,19.224,19.289,11880.39,229228.6289,spot,INJUSDT,60,19.373,18.884,2024-09-12 22:00:00+00:00
1726182000000,19.289,19.353,19.218,19.349,7826.9,150964.95279,spot,INJUSDT,60,19.373,18.899,2024-09-12 23:00:00+00:00
1726185600000,19.349,19.487,19.274,19.437,23623.15,458429.95521,spot,INJUSDT,60,19.373,18.899,2024-09-13 00:00:00+00:00
1726189200000,19.437,19.448,19.178,19.285,15007.59,289308.8456,spot,INJUSDT,60,19.437,18.899,2024-09-13 01:00:00+00:00
1726192800000,19.285,19.293,19.021,19.025,11258.2,215421.3288,spot,INJUSDT,60,19.437,18.899,2024-09-13 02:00:00+00:00
1726196400000,19.025,19.202,19.022,19.097,6488.66,124103.58503,spot,INJUSDT,60,19.437,18.899,2024-09-13 03:00:00+00:00
1726200000000,19.097,19.236,19.097,19.166,3413.54,65463.27226,spot,INJUSDT,60,19.437,18.899,2024-09-13 04:00:00+00:00
1726203600000,19.166,19.229,19.104,19.109,3362.83,64408.20582,spot,INJUSDT,60,19.437,18.899,2024-09-13 05:00:00+00:00
1726207200000,19.109,19.173,19.077,19.127,3347.95,64017.48592,spot,INJUSDT,60,19.437,18.899,2024-09-13 06:00:00+00:00
1726210800000,19.127,19.175,18.936,18.962,17339.2,329539.80152,spot,INJUSDT,60,19.437,18.899,2024-09-13 07:00:00+00:00
1726214400000,18.962,19.0,18.878,18.932,11223.84,212621.84847,spot,INJUSDT,60,19.437,18.899,2024-09-13 08:00:00+00:00
1726218000000,18.932,19.0,18.782,18.842,10940.79,207254.52544,spot,INJUSDT,60,19.437,18.899,2024-09-13 09:00:00+00:00
1726221600000,18.842,19.056,18.836,19.034,17022.34,323208.76977,spot,INJUSDT,60,19.437,18.842,2024-09-13 10:00:00+00:00
1726225200000,19.034,19.034,18.573,18.614,11869.47,222710.14979,spot,INJUSDT,60,19.437,18.842,2024-09-13 11:00:00+00:00
1726228800000,18.614,18.723,18.521,18.683,10305.38,191842.23612,spot,INJUSDT,60,19.437,18.614,2024-09-13 12:00:00+00:00
1726232400000,18.683,18.806,18.609,18.668,6381.5,119338.71939,spot,INJUSDT,60,19.437,18.614,2024-09-13 13:00:00+00:00
