start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support
1725962400000,57086.95,57189.85,56944.09,57169.9,903.790204,51600628.53791966,spot,BTCUSDT,60,58485.39,55555.0
1725958800000,57054.01,57277.08,56887.11,57086.95,1017.146842,58067016.97710096,spot,BTCUSDT,60,58485.39,55555.0
1725955200000,57216.0,57380.72,56987.67,57054.01,947.973165,54242239.73584417,spot,BTCUSDT,60,58485.39,55555.0
1725951600000,56830.84,57307.16,56772.23,57216.0,1175.601941,67054200.91527854,spot,BTCUSDT,60,58485.39,55555.0
1725948000000,56943.79,56943.79,56767.1,56830.84,858.604907,48808334.57793516,spot,BTCUSDT,60,58485.39,55555.0
1725944400000,56610.56,56969.53,56580.83,56943.79,888.624238,50492874.10425164,spot,BTCUSDT,60,58485.39,55555.0
1725940800000,56525.01,56739.99,56383.76,56610.56,920.990782,52116154.27724638,spot,BTCUSDT,60,58485.39,55555.0
1725937200000,56775.3,56811.0,56521.0,56525.01,943.071558,53420541.87643929,spot,BTCUSDT,60,58485.39,55555.0
1725933600000,56900.01,56918.86,56639.0,56775.3,1107.74906,62884237.57327136,spot,BTCUSDT,60,58292.27,55555.0
1725930000000,56981.35,57056.0,56717.91,56900.01,1090.358355,62020148.25768361,spot,BTCUSDT,60,58052.21,55555.0
1725926400000,57039.58,57072.28,56625.37,56981.35,1148.182917,65263858.79739596,spot,BTCUSDT,60,58052.21,55555.0
1725922800000,57228.56,57270.71,57007.34,57039.58,870.839014,49768578.04643278,spot,BTCUSDT,60,58052.21,55555.0
1725919200000,57462.59,57633.4,57205.8,57228.56,834.608213,47880641.02405464,spot,BTCUSDT,60,58052.21,55555.0
1725915600000,57014.59,58130.24,57002.35,57462.59,1445.298543,83284057.9038961,spot,BTCUSDT,60,58130.24,55555.0
1725912000000,57095.87,57142.98,56811.85,57014.59,644.637256,36711738.97016996,spot,BTCUSDT,60,58130.24,55555.0
1725908400000,56533.08,57192.15,56476.69,57095.87,1055.183741,59985903.10838602,spot,BTCUSDT,60,58130.24,55555.0
1725904800000,56517.59,56652.97,56265.11,56533.08,1069.21029,60419547.53447029,spot,BTCUSDT,60,58130.24,55555.0
1725901200000,56438.02,56780.91,56341.27,56517.59,1002.145884,56663585.56850602,spot,BTCUSDT,60,58130.24,55555.0
1725897600000,55391.77,56529.8,55350.09,56438.02,1292.299363,72441087.8698268,spot,BTCUSDT,60,58130.24,55350.09
1725894000000,54834.25,55476.99,54821.13,55391.77,870.714624,48043477.42734431,spot,BTCUSDT,60,58130.24,54821.13
1725890400000,55689.13,55754.96,54795.76,54834.25,1186.115147,65458897.47100826,spot,BTCUSDT,60,58130.24,54795.76
1725886800000,55348.0,55809.1,55248.01,55689.13,962.01645,53373252.55228222,spot,BTCUSDT,60,58130.24,54795.76
1725883200000,55267.04,55361.99,54972.43,55348.0,775.857971,42809918.16501414,spot,BTCUSDT,60,58130.24,54795.76
1725879600000,55363.6,55387.2,55166.84,55267.04,595.16997,32887035.02135649,spot,BTCUSDT,60,58130.24,54795.76
1725876000000,55158.86,55456.46,55094.13,55363.6,753.294159,41667777.12726046,spot,BTCUSDT,60,58130.24,54795.76
1725872400000,55252.04,55563.96,55098.65,55158.86,889.21063,49195563.32573594,spot,BTCUSDT,60,58130.24,54795.76
1725868800000,54975.47,55337.48,54957.0,55252.04,1044.030942,57616950.44184201,spot,BTCUSDT,60,58130.24,54795.76
1725865200000,54905.46,55012.43,54740.0,54975.47,768.340774,42161472.24770296,spot,BTCUSDT,60,58130.24,54740.0
1725861600000,54678.57,54981.2,54648.2,54905.46,639.922815,35085086.33517707,spot,BTCUSDT,60,58130.24,54648.2
1725858000000,54861.06,54934.32,54591.47,54678.57,792.875682,43432138.66513784,spot,BTCUSDT,60,58130.24,54591.47
1725854400000,55123.98,55155.39,54855.83,54861.06,756.456184,41605980.62971339,spot,BTCUSDT,60,58130.24,54591.47
1725850800000,55111.99,55217.52,54791.47,55123.98,770.280175,42398913.24383841,spot,BTCUSDT,60,58130.24,54591.47
1725847200000,55110.57,55135.99,54853.32,55111.99,671.683735,36924558.09037363,spot,BTCUSDT,60,58130.24,54591.47
1725843600000,55046.24,55376.91,54913.58,55110.57,911.183899,50245787.00318655,spot,BTCUSDT,60,58130.24,54591.47
1725840000000,54877.92,55215.49,54689.78,55046.24,884.939611,48645811.24395844,spot,BTCUSDT,60,58130.24,54591.47
